Date;USDCOP;BRENT
6/04/2020;3978.85;33.05
3/04/2020;4015;34.11
2/04/2020;4049.5;29.94
1/04/2020;4063.5;24.74
31/03/2020;4055.75;22.74
30/03/2020;4060.75;22.76
27/03/2020;4037.79;24.93
26/03/2020;3990.35;26.34
25/03/2020;4079.91;27.39
24/03/2020;4104.03;27.15
20/03/2020;4092.34;26.98
19/03/2020;4106.38;28.47
18/03/2020;4100.77;24.88
17/03/2020;4022.8;28.73
16/03/2020;4090;30.05
13/03/2020;3981.25;33.85
12/03/2020;3951.57;33.22
11/03/2020;3849.96;35.79
10/03/2020;3795.93;37.22
9/03/2020;3792.83;34.36
6/03/2020;3586.14;45.27
5/03/2020;3522;49.99
4/03/2020;3473.82;51.13
3/03/2020;3459.59;51.86
2/03/2020;3495.55;51.9
28/02/2020;3529.05;50.52
27/02/2020;3476.44;52.18
26/02/2020;3451.74;53.43
25/02/2020;3430.44;54.95
24/02/2020;3432.47;56.3
21/02/2020;3381.61;58.5
20/02/2020;3403.5;59.31
19/02/2020;3391.07;59.12
18/02/2020;3407.73;57.75
17/02/2020;3397.77;57.67
14/02/2020;3392.1;57.32
13/02/2020;3376.52;56.34
12/02/2020;3388.63;55.79
11/02/2020;3420.43;54.01
10/02/2020;3453.7;53.27
7/02/2020;3414.45;54.47
6/02/2020;3380.15;54.93
5/02/2020;3362.48;55.28
4/02/2020;3361.45;53.96
3/02/2020;3395.75;54.45
31/01/2020;3420.65;58.16
30/01/2020;3414.75;58.29
29/01/2020;3389.05;59.81
28/01/2020;3385.6;59.51
27/01/2020;3400.13;59.32
24/01/2020;3366.05;60.69
23/01/2020;3360.96;62.04
22/01/2020;3332.38;63.21
21/01/2020;3353.52;64.59
20/01/2020;3332.52;65.2
17/01/2020;3332;64.85
16/01/2020;3322.4;64.62
15/01/2020;3298.9;64
14/01/2020;3286.52;64.49
13/01/2020;3269.45;64.2
10/01/2020;3271.95;64.98
9/01/2020;3255.98;65.37
8/01/2020;3246.88;65.44
7/01/2020;3273;68.27
6/01/2020;3262.05;68.91
3/01/2020;3263.95;68.6
2/01/2020;3255.95;66.25
31/12/2019;3277.14;66
30/12/2019;3287.5;68.44
27/12/2019;3301.25;68.16
26/12/2019;3286.2;67.92
24/12/2019;3299;67.2
23/12/2019;3312.75;66.39
20/12/2019;3331.7;66.14
19/12/2019;3315.5;66.54
18/12/2019;3327.55;66.17
17/12/2019;3343.04;66.1
16/12/2019;3354.55;65.34
13/12/2019;3375.85;65.22
12/12/2019;3373.05;64.2
11/12/2019;3376.3;63.72
10/12/2019;3405.35;64.34
9/12/2019;3418.88;64.25
6/12/2019;3425.13;64.39
5/12/2019;3458.45;63.39
4/12/2019;3471;63
3/12/2019;3504.4;60.82
2/12/2019;3508.77;60.92
29/11/2019;3516.93;62.43
28/11/2019;3513;63.87
27/11/2019;3509.02;64.06
26/11/2019;3475.95;64.27
25/11/2019;3435.15;63.65
22/11/2019;3425;63.39
21/11/2019;3420.4;63.97
20/11/2019;3442.7;62.4
19/11/2019;3439.5;60.91
18/11/2019;3442.27;62.44
15/11/2019;3426.23;63.3
14/11/2019;3453.9;62.28
13/11/2019;3428.85;62.37
12/11/2019;3409;62.06
11/11/2019;3341.01;62.18
8/11/2019;3339.41;62.51
7/11/2019;3319.77;62.29
6/11/2019;3338;61.74
5/11/2019;3311.93;62.96
